"","state","ag1","ag2","ag3","ag4"
"1","Connecticut",196927,705996,2182316,581164
"2","Maine",68246,231167,797096,259322
"3","Massachusetts",384894,1282659,4235568,1081390
"4","New Hampshire",67189,241925,821214,228122
"5","Rhode Island",58730,200354,653613,175310
"6","Vermont",32152,112783,378324,113856
"7","New Jersey",549736,1752603,5468095,1383891
"8","New York",1232739,3697332,12286667,3064510
"9","Delaware",58539,185180,566578,168208
"10","District of Columbia",46612,103227,472921,79889
"11","Maryland",393354,1204283,3718640,884585
"12","Pennsylvania",751960,2414216,7654564,2234771
"13","Virginia",549519,1682577,5207920,1239748
"14","West Virginia",105837,330781,1081222,345955
"15","Alabama",305626,960282,2891337,790533
"16","Florida",1191499,3645383,12117992,4123038
"17","Georgia",696784,2216868,6263636,1365263
"18","Kentucky",290066,884836,2654689,695340
"19","Mississippi",195116,630570,1749159,453510
"20","North Carolina",643193,2056665,6108479,1579593
"21","South Carolina",308279,974028,2941016,834893
"22","Tennessee",428078,1307304,3993554,1054432
"23","Illinois",809397,2583598,7788999,1883292
"24","Indiana",443982,1393866,3939284,997483
"25","Michigan",608902,1983602,5966882,1624133
"26","Minnesota",374574,1137755,3317199,836224
"27","Ohio",739185,2330763,6923137,1898411
"28","Wisconsin",354392,1153906,3453223,932223
"29","Arkansas",200220,615778,1744532,491610
"30","Louisiana",324411,948300,2812249,679625
"31","New Mexico",135896,435039,1219874,346270
"32","Oklahoma",301061,885103,2382961,606379
"33","Texas",2109375,6242308,16709827,3380548
"34","Iowa",209241,649045,1820644,516138
"35","Kansas",207392,638323,1712015,440499
"36","Missouri",395788,1224201,3632160,985837
"37","Nebraska",139933,411675,1111112,287955
"38","Colorado",360974,1132125,3478279,750330
"39","Montana",67026,200565,617757,187016
"40","North Dakota",58250,149810,456218,110479
"41","South Dakota",64928,183731,498147,139634
"42","Utah",267163,791158,1751787,323068
"43","Wyoming",40074,119950,349692,88530
"44","Arizona",469475,1455480,4034678,1180585
"45","California",2699822,8183506,24585117,5432123
"46","Hawaii",150397,392615,1085343,274526
"47","Nevada",204778,605869,1821884,447514
"48","Alaska",62930,173591,486041,79159
"49","Idaho",121430,381605,965441,257348
"50","Oregon",256949,786758,2520856,697847
"51","Washington",507531,1481642,4578951,1095318
